"施設名称１","施設名称２","施設名称かな","施設郵便番号","施設所在地１","施設所在地２","施設電話番号","営業者名","営業者名かな","業種","業態","許可番号","初回許可年月日","許可開始日","許可終了日"
"ダンディ",,"ダンディ","760-0045","高松市古馬場町１３−７","ルヴェールビル３階","087-851-5196  ","野﨑　昇次","ノザキ　ショウジ","飲食店営業","飲み屋","第10401-2030108号","R03.05.10","R03.05.10","R08.05.31"
"ＫＩＳＨＩＳＨＩＴＡ",,"キシシタ","        ","高松市一円",,"              ","岸下　信雄","キシシタ　ノブオ","飲食店営業","露店：仮設","第10407-0021607号","S62.05.19","R03.06.01","R08.05.31"
"食楽居酒家　麿",,"ショクラクイザカヤマロ","760-0052","高松市瓦町１−１１−１７","クインズスクエアー第２ビル１階",,"萩田　由視","ハギタ　ユミ","飲食店営業","居酒屋・焼肉","第10107-1230101号","H23.04.28","R03.06.01","R08.05.31"
"有限会社北京",,"ペキン","760-0040","高松市片原町２−１０",,"087-822-2141  ","有限会社北京","ペキン","魚介類販売業","魚介類","第20601-1210069号","H21.04.17","R03.06.01","R09.05.31"
"有限会社北京",,"ペキン","760-0040","高松市片原町２−１０",,"087-822-2141  ","有限会社北京","ペキン","食品の冷凍又は冷蔵業","冷凍冷蔵","第20901-1210070号","H21.04.17","R03.06.01","R09.05.31"
"有限会社北京",,"ペキン","760-0040","高松市片原町２−１０",,"087-822-2141  ","有限会社北京","ペキン","食肉販売業","食肉販売","第21601-1210071号","H21.04.17","R03.06.01","R09.05.31"
"セブン−イレブン","高松春日町店","セブンイレブンタカマツカスガチョウテン","761-0101","高松市春日町４７６−５",,"087-843-3711  ","有限会社萬納商店","マンノウショウテン","飲食店営業","その他","第10404-1271464号","H28.03.30","R03.06.01","R08.05.31"
"ｍｅｉｃｒａ　ｆｒｅｅ",,"メイクラ　フリー","        ","高松市一円",,,"髙林　紘希","タカバヤシ　コウキ","飲食店営業","露店：仮設","第10407-2030101号","R03.05.07","R03.05.07","R08.05.31"
"Ｌｕｎｃｈ＆ｓｗｅｅｔｓ　ＳＴＯＲＹ",,,"760-0079","高松市松縄町１０７４−６",,"              ","特定非営利活動法人ＢＩＧスマイル","トクテイヒエイリカツドウホウジンビッグスマイル","飲食店営業","一般","第10101-2030172号","R03.05.27","R03.05.27","R08.05.31"
"Ｌｕｎｃｈ＆ｓｗｅｅｔｓ　ＳＴＯＲＹ",,,"760-0079","高松市松縄町１０７４−６",,"              ","特定非営利活動法人ＢＩＧスマイル","トクテイヒエイリカツドウホウジンビッグスマイル","菓子製造業","菓子","第20101-2030173号","R03.05.27","R03.05.27","R08.05.31"
"味自慢なかなか",,"アジジマンナカナカ","761-0113","高松市屋島西町６７７−１",,,"岸元　匡貴","キシモト　コウキ","そうざい製造業","そうざい","第22800-2030110号","R03.05.11","R03.05.11","R08.05.31"
"日乃出",,"ヒノデ","761-0113","高松市屋島西町２４８５−１２",,,"中道　大輔","ナカミチ　ダイスケ","菓子製造業","菓子","第20101-2030153号","R03.05.24","R03.05.24","R08.05.31"
"喜納啓子Ｏｈａｎａ",,"キナケイコオハナ","760-0045","高松市古馬場町１３−１２","２階","087-811-0872  ","有限会社糸半","イトハン","飲食店営業","その他","第10404-1280229号","H28.06.01","R03.06.01","R08.05.31"
"大勝",,"タイショウ","760-0045","高松市古馬場町１３−１２","１階","087-811-7788  ","有限会社糸半","イトハン","飲食店営業","寿司","第10103-1280096号","H28.04.25","R03.06.01","R08.05.31"
"ホワイト・マリン",,"ホワイトマリン","761-0130","高松市庵治町１５６−３０",,"087-871-3754  ","岩田　彰","イワタ　アキラ","飲食店営業","喫茶","第10105-0056582号","S59.03.28","R03.06.01","R08.05.31"
"四国電力（株）","高松電気ビル","シコクデンリョクタカマツデンキビル","761-8062","高松市室新町９７３−１",,"087-868-1836  ","ウオクニ株式会社","ウオクニ","飲食店営業","給食","第10106-1280113号","H28.04.26","R03.06.01","R08.05.31"
"日本銀行","高松支店","ニホンギンコウ　タカマツシテン","760-0023","高松市寿町２−１−６",,"087-825-1111  ","ウオクニ株式会社","ウオクニ","飲食店営業","給食","第10106-0057670号","H18.03.20","R03.06.01","R08.05.31"
"ＳＰＯＲＴＳ　ＤＩＮＩＮＧ　＆　ＢＡＲ","ＥＮ−ＪＯＹ","エンジョイ","760-0029","高松市丸亀町９−２６","杉山ビル２階","087-826-2201  ","梅田　大資","ウメダ　ダイスケ","飲食店営業","飲み屋","第10401-1271416号","H28.03.22","R03.06.01","R08.05.31"
"バルロッサ",,"バルロッサ","760-0062","高松市塩上町１−２−７","ミユキビル３階","087-880-5177  ","エムズワークス有限会社","エムズワークス","飲食店営業","喫茶","第10105-1280215号","H28.05.27","R03.06.01","R08.05.31"
"焼鳥　呑喜",,"ノンキ","760-0052","高松市瓦町１−１１−１５",,"087-834-4995  ","遠藤　隆一","エンドウ　リュウイチ","飲食店営業","居酒屋・焼肉","第10107-0021292号","S62.03.06","R03.06.01","R08.05.31"
"岡敬商店",,"オカヨシショウテン","        ","高松市一円",,"              ","岡　祐子","オカ　ユウコ","飲食店営業","露店：仮設","第10407-0041862号","H07.05.02","R03.06.01","R08.05.31"
"さか枝うどん","春日店","サカエダウドン　カスガテン","761-0101","高松市春日町１０７５",,"087-814-7200  ","株式会社オフィスサン","オフィスサン","飲食店営業","めん","第10104-1230018号","H23.04.08","R03.06.01","R08.05.31"
"さか枝うどん","春日店","サカエダウドン　カスガテン","761-0101","高松市春日町１０７５",,"087-814-7200  ","株式会社オフィスサン","オフィスサン","麺類製造業","めん","第22701-1230019号","H23.04.08","R03.06.01","R08.05.31"
"ＦＵＪＩＹＡ　ＫＯＢＥ　ウイングポート店・シュガー",,"フジヤコウベウイングポートテンシュガー","761-1701","高松市香川町大野９１６−１",,"087-885-8923  ","香川町商業協同組合","カガワチョウショウギョウキョウドウクミアイ","飲食店営業","調理パン","第10402-1230098号","H23.04.28","R03.06.01","R08.05.31"
"ＦＵＪＩＹＡ　ＫＯＢＥ　ウイングポート店・シュガー",,"フジヤコウベウイングポートテンシュガー","761-1701","高松市香川町大野９１６−１",,"087-885-8923  ","香川町商業協同組合","カガワチョウショウギョウキョウドウクミアイ","菓子製造業","パン","第20102-1230099号","H23.04.28","R03.06.01","R08.05.31"
"スナック　酔いどれサム",,"ヨイドレサム","760-0045","高松市古馬場町８−１５","大一ビル２階","087-821-0772  ","川西　修","カワニシ　オサム","飲食店営業","飲み屋","第10401-0051686号","H13.03.09","R03.06.01","R08.05.31"
"快食酒房　馬車屋",,"カイショクシュボウ　バシャヤ","761-0433","高松市十川西町３７４−２",,"087-848-6172  ","槲田　治紀","クニギダ　ハルキ","飲食店営業","居酒屋・焼肉","第10107-1180183号","H18.05.30","R03.06.01","R08.05.31"
"豚ちゃん",,"トンチャン","761-0104","高松市高松町１７２２−１６",,"087-843-5866  ","國宗　弘","クニムネ　ヤスヒロ","飲食店営業","居酒屋・焼肉","第10107-1230147号","H23.05.19","R03.06.01","R08.05.31"
"鳥一",,"トリイチ","760-0052","高松市瓦町２−２−１８","鳥一ビル１階","087-834-0486  ","久利　昌紀","クリ　マサキ","飲食店営業","飲み屋","第10401-0009491号","S56.04.16","R03.06.01","R08.05.31"
"河野商店",,"コウノショウテン","760-0013","高松市扇町１−１８−５",,,"河野　里美","コウノサトミ","喫茶店営業","短期","第21105-1280063号","H28.04.18","R03.06.01","R08.05.31"
"河野商店",,"コウノショウテン","760-0013","高松市扇町１−１８−５",,,"河野　里美","コウノサトミ","アイスクリーム類製造業","ソフトクリーム","第21302-1280065号","H28.04.18","R03.06.01","R08.05.31"
"ＴＥＡ　ＨＯＵＳＥ　サリー・ルン",,"ティーハウスサリールン","760-0066","高松市福岡町２−１２−８",,"087-821-2001  ","小松　和子","コマツ　カズコ","飲食店営業","喫茶","第10105-0006884号","S53.05.29","R03.06.01","R08.05.31"
"喫茶　ライトハウス",,"ライトハウス","761-1703","高松市香川町浅野１０４８−１３",,"087-879-3848  ","斉藤　富香","サイトウ　トミカ","飲食店営業","喫茶","第10105-0056737号","S62.04.10","R03.06.01","R08.05.31"
"社会福祉法人大樹福祉会障害福祉サービス事業所サン",,"ダイジュフクシカイショウガイフクシサービスジギョウショサン","761-0101","高松市春日町８１３−１０",,"              ","社会福祉法人大樹福祉会","ダイジュフクシカイ","菓子製造業","パン","第20102-1280018号","H28.04.06","R03.06.01","R08.05.31"
"居酒屋　春夏秋灯",,"シュンカシュウトウ","760-0045","高松市古馬場町６−１９","三野ビル１階","087-821-5620  ","高橋　功","タカハシ　イサオ","飲食店営業","居酒屋・焼肉","第10107-0021584号","S62.05.22","R03.06.01","R08.05.31"
"喫茶　メロウ",,"メロウ","760-0072","高松市花園町２−８−２３",,"087-834-4502  ","高橋　正俊","タカハシ　マサトシ","飲食店営業","喫茶","第10105-0006741号","S53.04.03","R03.06.01","R08.05.31"
"鳥盛",,"トリザカリ","760-0036","高松市城東町２−２−１４",,"087-851-1666  ","長谷　敏生","ナガタニ　トシオ","飲食店営業","その他","第10404-1280127号","H28.04.27","R03.06.01","R08.05.31"
"鳥盛",,"トリザカリ","760-0036","高松市城東町２−２−１４",,"087-851-1666  ","長谷　敏生","ナガタニ　トシオ","食品の冷凍又は冷蔵業","冷凍冷蔵","第20901-1280128号","H28.04.27","R03.06.01","R08.05.31"
"鳥盛",,"トリザカリ","760-0036","高松市城東町２−２−１４",,"087-851-1666  ","長谷　敏生","ナガタニ　トシオ","そうざい製造業","そうざい","第22800-1280129号","H28.04.27","R03.06.01","R08.05.31"
"ラ・ムーレ",,"ラムーレ","760-0045","高松市古馬場町８−１１","フレンズビル１−３",,"中村　桃子","ナカムラ　モモコ","飲食店営業","飲み屋","第10401-1280137号","H28.05.02","R03.06.01","R08.05.31"
"ホテル　パールガーデン",,"ホテル　パールガーデン","760-0066","高松市福岡町２−２−１",,"087-821-8500  ","株式会社パールガーデン","パールガーデン","そうざい製造業","そうざい","第22800-1201307号","H21.03.27","R03.06.01","R09.05.31"
"ホテル　パールガーデン　１Ｆ",,"ホテル　パールガーデン１カイ","760-0066","高松市福岡町２−２−１",,"087-821-8500  ","株式会社パールガーデン","パールガーデン","飲食店営業","一般","第10101-1201305号","H21.03.27","R03.06.01","R09.05.31"
"ホテル　パールガーデン　２Ｆ",,"ホテル　パールガーデン２カイ","760-0066","高松市福岡町２−２−１",,"087-821-8500  ","株式会社パールガーデン","パールガーデン","飲食店営業","旅館・ホテル","第10301-1201306号","H21.03.27","R03.06.01","R09.05.31"
"スナック","にゅう橋本","ニュウハシモト","760-0045","高松市古馬場町６−１６","福家ビル地下１階","087-821-5468  ","橋本　晴美","ハシモト　ハルミ","飲食店営業","飲み屋","第10401-0021563号","S62.05.08","R03.06.01","R08.05.31"
"総商",,"ソウショウ","        ","高松市一円",,,"橋本　力","ハシモト　リキ","飲食店営業","露店：引車","第10405-1180177号","H18.05.29","R03.06.01","R08.05.31"
"中華料理彩宴",,"チュウカリョウリサイエン","760-0062","高松市塩上町１２−１",,"087-833-0016  ","長谷川　良多","ハセガワ　リョウタ","飲食店営業","一般","第10101-1180032号","H18.04.10","R03.06.01","R08.05.31"
"ＮＯＲＡ",,"ノラ","761-8077","高松市出作町３１７−６",,"087-805-5784  ","藤澤　梢","フジサワ　コズエ","飲食店営業","喫茶","第10105-1280147号","H28.05.09","R03.06.01","R08.05.31"
"ＮＯＲＡ",,"ノラ","761-8077","高松市出作町３１７−６",,"087-805-5784  ","藤澤　梢","フジサワ　コズエ","菓子製造業","菓子","第20101-1280148号","H28.05.09","R03.06.01","R08.05.31"
"ミケイラ",,"ミケイラ","760-0019","高松市サンポート８−４０",,"087-811-5357  ","株式会社マルヨシセンター","マルヨシセンター","飲食店営業","一般","第10101-0051777号","H13.05.08","R03.06.01","R08.05.31"
"そば処　古川",,"フルカワ","760-0028","高松市鍛冶屋町１−８","中村ビル２階","087-823-8123  ","有限会社めん","メン","飲食店営業","めん","第10104-1221289号","H23.03.23","R03.06.01","R08.05.31"
"有限会社百百家",,"モモヤ","        ","高松市一円",,"087-882-0874  ","有限会社百百家","モモヤ","飲食店営業","露店：仮設","第10407-0057705号","H18.03.25","R03.06.01","R08.05.31"
